id,name,longitude,latitude,Score_Population_Density,Score_Footfall,Score_Transit,Score_Traffic,Score_Rent_Value,Score_Parking,Score_Night_Activity,Score_Walkability,Score_Safety,Score_POI_Synergy
6,Gulabi Bagh,77.19268602,28.67134819,95,85.84610372,95,84,26.00020548,44.75740456,83.58478106,81.82718858,54.86447272,76.28370091
201,Ghazipur,77.3232841,28.62814594,95,71.7603909,91.14132685,72,64.86767957,63.97536508,82.75014372,75.60907481,49.30752133,76.52741268
78,Pragati Vihar,77.2348975,28.58572435,95,75.45042621,93.84433196,84,58.86524333,36.21384939,83.26363858,81.9343476,44.00392034,76.37355126
144,Jhilmil Colony,77.31054207,28.67220227,95,81.70662964,87.74146837,84,67.66255673,73.05080453,60.14266343,65.32019688,48.65146431,63.25383588
80,Madanpur Khadar,77.31557588,28.5330894,95,61.41031496,95,72,68.02408758,51.01045811,85.3460908,87.75283592,48.75556888,78.29566476
88,Sewa Nagar,77.22596832,28.57771287,95,62.68315006,92.87437824,84,68.00547244,41.23895836,83.47379871,85.02502659,49.5244379,76.14273572
95,Molar Band,77.32523806,28.4998564,95,71.91557755,91.97189218,66,61.3258139,53.61966832,86.05933095,85.75774599,46.79779648,78.35417329
61,Sadar Bazaar,77.2103829,28.65652612,95,87.95991874,95,84,22.19213987,39.9112104,85.98250006,85.13679066,59.81955915,75.84276388
160,Sansad Marg Area,77.21125133,28.62133785,95,87.86215308,95,84,20.41572859,37.96535581,87.22530232,83.83877642,55.68969625,79.14406453
13,Shahdara South,77.2822145,28.66460873,95,81.21130369,91.9494258,84,56.57395268,71.96844033,68.20997463,73.40242528,48.93428727,58.88345491
244,Subzi Mandi,77.20417729,28.67054605,95,86.45356896,95,84,23.98822781,32.16796916,87.62107018,85.62547877,54.40340508,78.28953214
93,Mithapur,77.3206625,28.49301508,95,70.69371736,91.37289055,66,68.10134857,55.09612368,83.9223842,87.74961147,49.45060731,76.63453107
236,University Enclave,77.21080649,28.68881535,95,87.7626172,95,84,24.63494044,52.35587212,75.47676769,68.87467871,58.95930645,82.9911409
299,Vijay Nagar,77.20146722,28.69611952,95,87.9084113,95,84,23.53421379,53.01628974,76.86324171,65.22031964,59.82690544,80.64111316
